work_id,mp_id,constituency_id,state,district,constituency,block,village_or_urban_area,sector,sub_sector,work_type,work_description,recommended_amount,technical_estimate_amount,administrative_approval_amount,sanctioned_amount,released_amount,actual_expenditure,work_start_date,sanction_date,expected_completion_date,actual_completion_date,physical_progress_percent,financial_progress_percent,number_of_payments,first_payment_date,last_payment_date,implementing_agency_id,contractor_id,latitude,longitude,number_of_progress_updates,inspection_count
MPL-WORK-20242899,MP-367,CON-2896,Karnataka,Karnataka_Dist_4,Karnataka_Const_1,Block-19,Village-75,Water & Sanitation,Drainage System,Procurement,"Drainage System at Village-75, Block-19, Karnataka_Dist_4",17422962,18508110.01,18378649.36,18378649.36,2270843.82,309553.56,2022-12-06,2022-11-06,2024-01-25,,1.06,1.68,9,2022-12-23,2023-06-23,AGENCY-274,CONT-0736,19.365417,82.922792,0,3
MPL-WORK-20242900,MP-761,CON-6861,Bihar,Bihar_Dist_4,Bihar_Const_7,Block-13,Village-79,Electricity,Solar Panels,Procurement,"Solar Panels at Village-79, Block-13, Bihar_Dist_4",9510691,10113869.17,9939902.05,9939902.05,9872148.95,8925752.58,2023-10-04,2023-08-12,2024-09-07,,81.4,89.8,7,2023-10-06,2023-11-03,AGENCY-236,CONT-0582,23.135871,87.247451,10,5
MPL-WORK-20242901,MP-844,CON-7013,Madhya Pradesh,Madhya Pradesh_Dist_4,Madhya Pradesh_Const_2,Block-3,Village-57,Education,Library Setup,Procurement,"Library Setup at Village-57, Block-3, Madhya Pradesh_Dist_4",21174239,23124515.37,22959696.87,22959696.87,24732892.26,22959696.87,2022-10-24,2022-09-07,2023-10-10,,65.51,100.0,2,2022-11-14,2023-04-25,AGENCY-278,CONT-0903,23.535978,71.33359,7,2
MPL-WORK-20242902,MP-196,CON-0692,Rajasthan,Rajasthan_Dist_1,Rajasthan_Const_7,Block-16,Village-6,Infrastructure,Bus Shelter,Procurement,"Bus Shelter at Village-6, Block-16, Rajasthan_Dist_1",3987577,4335247.34,4282632.61,4282632.61,4082771.77,4070894.59,2024-10-24,2024-09-23,2025-11-29,2025-11-06,100.0,95.06,8,2024-11-23,2025-11-30,AGENCY-263,CONT-0699,25.780615,71.274349,12,1
MPL-WORK-20242903,MP-756,CON-2896,Karnataka,Karnataka_Dist_3,Karnataka_Const_1,Block-2,Village-44,Electricity,Transformer Installation,Procurement,"Transformer Installation at Village-44, Block-2, Karnataka_Dist_3",24456209,24289451.82,23946648.73,23946648.73,23773781.54,23615192.7,2023-03-03,2022-12-17,2023-11-09,2023-12-28,100.0,98.62,5,2023-03-28,2024-01-07,AGENCY-275,CONT-0636,19.796725,71.982636,13,4
MPL-WORK-20242904,MP-926,CON-1145,Tamil Nadu,Tamil Nadu_Dist_5,Tamil Nadu_Const_8,Block-6,Village-86,Infrastructure,Bus Shelter,Procurement,"Bus Shelter at Village-86, Block-6, Tamil Nadu_Dist_5",8767340,9374838.37,9246515.96,9246515.96,4911280.1,4806927.01,2023-05-05,2023-03-25,2024-07-13,,54.67,51.99,6,2023-05-23,2023-10-19,AGENCY-102,CONT-0229,14.601565,84.17479,6,2
MPL-WORK-20242905,MP-661,CON-1913,Rajasthan,Rajasthan_Dist_1,Rajasthan_Const_9,Block-16,Village-15,Water & Sanitation,Drainage System,Procurement,"Drainage System at Village-15, Block-16, Rajasthan_Dist_1",8981945,9049180.24,8947670.59,8947670.59,5407262.86,4700308.06,2023-03-03,2023-01-08,2024-04-19,,50.27,52.53,7,2023-03-19,2023-03-17,AGENCY-242,CONT-0140,15.936074,81.925662,8,3
MPL-WORK-20242906,MP-962,CON-4284,Maharashtra,Maharashtra_Dist_2,Maharashtra_Const_2,Block-11,Village-96,Infrastructure,Community Hall,Construction,"Community Hall at Village-96, Block-11, Maharashtra_Dist_2",6795794,6887401.89,6839928.36,6839928.36,2497885.22,2298674.51,2023-11-05,2023-08-07,2024-09-21,,27.28,33.61,5,2023-11-19,2024-03-14,AGENCY-094,CONT-0807,18.975632,75.604542,4,3
MPL-WORK-20242907,MP-499,CON-8514,Andhra Pradesh,Andhra Pradesh_Dist_5,Andhra Pradesh_Const_9,Block-16,Village-41,Education,Construction of School Building,Construction,"Construction of School Building at Village-41, Block-16, Andhra Pradesh_Dist_5",21449515,21294664.81,21120952.58,21120952.58,16208357.52,13763148.2,2023-06-01,2023-03-06,2024-07-05,,67.21,65.16,1,2023-06-03,2023-07-23,AGENCY-140,CONT-0505,12.039203,87.158088,9,4
MPL-WORK-20242908,MP-774,CON-1002,Maharashtra,Maharashtra_Dist_5,Maharashtra_Const_5,Block-9,Village-43,Electricity,Solar Panels,Procurement,"Solar Panels at Village-43, Block-9, Maharashtra_Dist_5",23864627,24880404.27,24421880.54,24421880.54,25355183.75,24271399.99,2024-09-30,2024-07-19,2025-09-03,2025-08-14,100.0,99.38,9,2024-10-09,2025-08-20,AGENCY-073,CONT-0941,16.847788,84.804596,12,2
MPL-WORK-20242909,MP-470,CON-2728,Bihar,Bihar_Dist_5,Bihar_Const_4,Block-6,Village-18,Water & Sanitation,Public Toilets,Procurement,"Public Toilets at Village-18, Block-6, Bihar_Dist_5",20196223,21307189.51,20962217.17,20962217.17,20716048.34,20255345.29,2022-11-21,2022-09-02,2023-12-26,2023-12-31,100.0,96.63,6,2022-12-17,2024-02-12,AGENCY-114,CONT-0133,21.833152,71.660707,13,5
MPL-WORK-20242910,MP-178,CON-2792,Gujarat,Gujarat_Dist_3,Gujarat_Const_4,Block-20,Village-36,Infrastructure,Bus Shelter,Procurement,"Bus Shelter at Village-36, Block-20, Gujarat_Dist_3",5966171,5816516.03,5782710.48,5782710.48,5646175.61,5643135.28,2023-11-23,2023-10-06,2025-01-27,2025-01-03,100.0,97.59,1,2023-12-15,2025-01-29,AGENCY-287,CONT-0542,18.723908,74.258385,10,2
MPL-WORK-20242911,MP-930,CON-0030,Andhra Pradesh,Andhra Pradesh_Dist_4,Andhra Pradesh_Const_3,Block-1,Village-45,Water & Sanitation,Drainage System,Procurement,"Drainage System at Village-45, Block-1, Andhra Pradesh_Dist_4",8763968,8631489.65,8526358.71,8526358.71,2110725.32,1834645.8,2023-02-05,2022-11-26,2023-09-16,,23.35,21.52,3,2023-02-28,2023-08-16,AGENCY-286,CONT-0563,13.172699,83.619603,5,1
MPL-WORK-20242912,MP-225,CON-3043,Uttar Pradesh,Uttar Pradesh_Dist_5,Uttar Pradesh_Const_7,Block-18,Village-59,Health,Ambulance Purchase,Procurement,"Ambulance Purchase at Village-59, Block-18, Uttar Pradesh_Dist_5",10559555,10105270.4,10002778.29,10002778.29,6714740.5,5834437.55,2022-08-07,2022-05-31,2023-10-20,,57.73,58.33,3,2022-09-05,2022-08-01,AGENCY-143,CONT-0222,12.939831,79.33987,6,4
MPL-WORK-20242913,MP-596,CON-6814,West Bengal,West Bengal_Dist_1,West Bengal_Const_8,Block-15,Village-38,Health,Hospital Ward,Procurement,"Hospital Ward at Village-38, Block-15, West Bengal_Dist_1",16653464,17159911.95,17151857.58,17151857.58,6092929.34,5903951.6,2022-12-24,2022-10-11,2023-12-17,,33.25,34.42,9,2023-01-18,2022-12-30,AGENCY-140,CONT-0026,22.484268,75.898154,3,2
MPL-WORK-20242914,MP-659,CON-9994,Uttar Pradesh,Uttar Pradesh_Dist_5,Uttar Pradesh_Const_6,Block-7,Village-14,Water & Sanitation,Public Toilets,Procurement,"Public Toilets at Village-14, Block-7, Uttar Pradesh_Dist_5",15304089,14647831.98,14533842.65,14533842.65,10342100.0,9686554.94,2023-07-27,2023-07-08,2024-09-26,,58.49,66.65,4,2023-08-01,2024-01-21,AGENCY-152,CONT-0354,16.76931,79.77388,6,2
MPL-WORK-20242915,MP-241,CON-9388,Rajasthan,Rajasthan_Dist_1,Rajasthan_Const_8,Block-3,Village-5,Electricity,Street Lights,Procurement,"Street Lights at Village-5, Block-3, Rajasthan_Dist_1",5299143,5778095.74,5758925.43,5758925.43,5649601.5,5633794.64,2023-04-08,2023-02-20,2024-07-22,2024-09-19,100.0,97.83,8,2023-04-22,2024-10-11,AGENCY-127,CONT-0217,16.911909,84.016611,11,3
MPL-WORK-20242916,MP-626,CON-7515,Rajasthan,Rajasthan_Dist_3,Rajasthan_Const_6,Block-9,Village-75,Education,Smart Classrooms,Procurement,"Smart Classrooms at Village-75, Block-9, Rajasthan_Dist_3",18755166,18971266.71,18832230.88,18832230.88,18699027.44,18087873.41,2022-11-29,2022-10-16,2023-07-20,2023-10-09,100.0,96.05,2,2022-12-18,2023-11-04,AGENCY-256,CONT-0796,22.798654,82.08723,13,3
MPL-WORK-20242917,MP-782,CON-2925,Rajasthan,Rajasthan_Dist_2,Rajasthan_Const_4,Block-12,Village-49,Water & Sanitation,Drinking Water RO,Procurement,"Drinking Water RO at Village-49, Block-12, Rajasthan_Dist_2",17896707,18386174.68,18349214.21,18349214.21,18103273.52,15101168.53,2024-11-10,2024-08-24,2025-12-28,,83.37,82.3,8,2024-11-17,2024-10-31,AGENCY-273,CONT-0834,15.620669,73.245474,10,1
MPL-WORK-20242918,MP-561,CON-1840,Gujarat,Gujarat_Dist_1,Gujarat_Const_3,Block-7,Village-56,Electricity,Street Lights,Procurement,"Street Lights at Village-56, Block-7, Gujarat_Dist_1",23053084,22085242.27,21936892.75,21936892.75,3266133.28,2123511.05,2022-03-07,2022-02-09,2023-02-26,,11.76,9.68,5,2022-03-19,2022-04-28,AGENCY-067,CONT-0075,14.607322,80.555184,1,1
MPL-WORK-20242919,MP-755,CON-6861,Bihar,Bihar_Dist_5,Bihar_Const_7,Block-15,Village-25,Education,Smart Classrooms,Procurement,"Smart Classrooms at Village-25, Block-15, Bihar_Dist_5",20294766,20072001.36,19719004.46,19719004.46,18660234.75,15757799.98,2023-11-13,2023-10-16,2024-07-10,,77.02,79.91,9,2023-11-23,2024-06-11,AGENCY-259,CONT-0057,25.128981,70.113077,8,1
MPL-WORK-20242920,MP-431,CON-6273,Bihar,Bihar_Dist_1,Bihar_Const_9,Block-1,Village-73,Water & Sanitation,Drinking Water RO,Procurement,"Drinking Water RO at Village-73, Block-1, Bihar_Dist_1",5739174,5719496.31,5675042.79,5675042.79,5817160.75,5661647.3,2023-10-16,2023-09-02,2024-09-26,2024-11-28,100.0,99.76,10,2023-10-31,2024-12-12,AGENCY-007,CONT-0791,21.167256,70.971342,12,4
MPL-WORK-20242921,MP-249,CON-3735,Gujarat,Gujarat_Dist_2,Gujarat_Const_9,Block-2,Village-14,Water & Sanitation,Drainage System,Procurement,"Drainage System at Village-14, Block-2, Gujarat_Dist_2",11851312,12241195.52,12204719.17,12204719.17,3255993.15,2084071.67,2023-08-29,2023-08-14,2024-08-27,,2.91,17.08,4,2023-09-11,2023-10-13,AGENCY-205,CONT-0336,17.596998,71.804438,2,2
MPL-WORK-20242922,MP-740,CON-0760,Uttar Pradesh,Uttar Pradesh_Dist_5,Uttar Pradesh_Const_9,Block-12,Village-88,Health,Primary Health Centre,Procurement,"Primary Health Centre at Village-88, Block-12, Uttar Pradesh_Dist_5",15607540,16473601.46,16204066.5,16204066.5,2222508.79,603651.07,2023-10-09,2023-08-03,2024-12-08,,1.95,3.73,2,2023-10-26,2023-12-18,AGENCY-140,CONT-0427,11.336483,77.922139,1,3
MPL-WORK-20242923,MP-404,CON-6814,West Bengal,West Bengal_Dist_1,West Bengal_Const_8,Block-13,Village-93,Water & Sanitation,Public Toilets,Procurement,"Public Toilets at Village-93, Block-13, West Bengal_Dist_1",22436612,22163235.51,21722320.24,21722320.24,21282713.73,20744305.23,2023-11-20,2023-09-07,2024-12-22,2025-03-18,100.0,95.5,7,2023-12-08,2025-04-25,AGENCY-188,CONT-0196,16.199291,76.763726,13,1
MPL-WORK-20242924,MP-249,CON-8310,Tamil Nadu,Tamil Nadu_Dist_1,Tamil Nadu_Const_9,Block-9,Village-86,Water & Sanitation,Public Toilets,Procurement,"Public Toilets at Village-86, Block-9, Tamil Nadu_Dist_1",12534868,13225494.12,13193350.9,13193350.9,6139961.23,5628765.72,2025-01-17,2024-12-26,2025-10-20,,46.71,42.66,9,2025-02-02,2025-09-23,AGENCY-037,CONT-0826,21.319159,75.236255,5,3
MPL-WORK-20242925,MP-205,CON-9994,Uttar Pradesh,Uttar Pradesh_Dist_3,Uttar Pradesh_Const_6,Block-17,Village-24,Water & Sanitation,Drinking Water RO,Procurement,"Drinking Water RO at Village-24, Block-17, Uttar Pradesh_Dist_3",20356571,20566552.24,20169946.95,20169946.95,20209043.24,19895303.1,2024-10-26,2024-07-30,2025-12-12,2025-12-25,100.0,98.64,3,2024-10-31,2025-12-29,AGENCY-234,CONT-0519,10.160667,77.370223,13,3
MPL-WORK-20242926,MP-971,CON-1913,Rajasthan,Rajasthan_Dist_1,Rajasthan_Const_9,Block-19,Village-26,Education,Smart Classrooms,Procurement,"Smart Classrooms at Village-26, Block-19, Rajasthan_Dist_1",21516079,20656869.54,20327537.62,20327537.62,2542583.42,4840761.69,2024-07-03,2024-05-19,2025-04-17,,7.53,23.81,7,2024-07-05,2024-12-05,AGENCY-049,CONT-0999,14.285132,76.132336,3,2
MPL-WORK-20242927,MP-568,CON-9236,Bihar,Bihar_Dist_4,Bihar_Const_3,Block-18,Village-64,Electricity,Street Lights,Procurement,"Street Lights at Village-64, Block-18, Bihar_Dist_4",22552005,23876276.74,23775699.81,23775699.81,19006082.67,17663516.06,2023-07-20,2023-05-01,2024-02-03,,67.19,74.29,3,2023-08-01,2024-01-24,AGENCY-251,CONT-0060,24.09792,80.69645,9,1
MPL-WORK-20242928,MP-670,CON-2731,Karnataka,Karnataka_Dist_4,Karnataka_Const_8,Block-3,Village-96,Water & Sanitation,Public Toilets,Procurement,"Public Toilets at Village-96, Block-3, Karnataka_Dist_4",2937621,3019419.49,2974899.95,2974899.95,698029.97,657401.24,2022-08-01,2022-06-28,2023-11-24,,0.78,22.1,4,2022-08-14,2023-04-13,AGENCY-103,CONT-0789,12.612641,79.336532,1,3
MPL-WORK-20242929,MP-715,CON-6494,Rajasthan,Rajasthan_Dist_1,Rajasthan_Const_2,Block-7,Village-98,Infrastructure,Community Hall,Construction,"Community Hall at Village-98, Block-7, Rajasthan_Dist_1",5562657,5908253.99,5795092.13,5795092.13,1421331.4,354179.29,2024-07-17,2024-05-14,2025-09-17,,7.35,6.11,6,2024-07-19,2024-12-19,AGENCY-221,CONT-0384,13.776507,84.704977,3,0
MPL-WORK-20242930,MP-348,CON-1184,Andhra Pradesh,Andhra Pradesh_Dist_2,Andhra Pradesh_Const_8,Block-10,Village-80,Electricity,Street Lights,Procurement,"Street Lights at Village-80, Block-10, Andhra Pradesh_Dist_2",10462750,10303274.77,10209415.33,10209415.33,1720866.23,2089719.09,2023-04-11,2023-03-26,2024-07-15,,10.11,20.47,4,2023-04-17,2023-12-22,AGENCY-193,CONT-0780,27.859061,87.450142,1,2
MPL-WORK-20242931,MP-539,CON-8265,Gujarat,Gujarat_Dist_1,Gujarat_Const_6,Block-3,Village-11,Electricity,Transformer Installation,Procurement,"Transformer Installation at Village-11, Block-3, Gujarat_Dist_1",19322705,19852783.28,19810305.39,19810305.39,23109872.87,19810305.39,2023-11-18,2023-08-31,2025-03-25,,81.42,100.0,2,2023-11-25,2024-02-03,AGENCY-020,CONT-0314,25.977739,78.084652,10,3
MPL-WORK-20242932,MP-559,CON-8248,Karnataka,Karnataka_Dist_4,Karnataka_Const_4,Block-19,Village-39,Education,Smart Classrooms,Procurement,"Smart Classrooms at Village-39, Block-19, Karnataka_Dist_4",3356122,3475786.76,3415327.07,3415327.07,3190576.97,2889496.53,2023-02-03,2022-11-18,2024-03-14,,89.12,84.6,6,2023-02-21,2023-04-04,AGENCY-232,CONT-0619,13.347703,73.075453,8,1
MPL-WORK-20242933,MP-705,CON-6861,Bihar,Bihar_Dist_3,Bihar_Const_7,Block-15,Village-46,Electricity,Solar Panels,Procurement,"Solar Panels at Village-46, Block-15, Bihar_Dist_3",16743680,18003440.08,17870492.72,17870492.72,17301790.38,15206275.51,2023-04-12,2023-02-16,2023-12-08,,37.22,85.09,8,2023-04-12,2023-09-05,AGENCY-234,CONT-0932,11.994955,75.639574,3,3
MPL-WORK-20242934,MP-150,CON-5087,West Bengal,West Bengal_Dist_4,West Bengal_Const_7,Block-3,Village-28,Infrastructure,Village Road,Construction,"Village Road at Village-28, Block-3, West Bengal_Dist_4",10158926,9883624.24,9877312.36,9877312.36,1462475.44,679473.39,2023-08-09,2023-06-15,2024-07-29,,8.7,6.88,5,2023-08-14,2024-01-23,AGENCY-238,CONT-0137,15.00985,81.512089,3,2
MPL-WORK-20242935,MP-877,CON-9547,West Bengal,West Bengal_Dist_5,West Bengal_Const_9,Block-15,Village-81,Electricity,Transformer Installation,Procurement,"Transformer Installation at Village-81, Block-15, West Bengal_Dist_5",4960302,5203986.3,5109254.78,5109254.78,4689462.71,4276202.26,2023-03-06,2023-01-04,2024-06-21,,89.72,83.7,10,2023-03-18,2023-07-19,AGENCY-211,CONT-0995,22.001561,70.149803,11,1
MPL-WORK-20242936,MP-223,CON-2971,Maharashtra,Maharashtra_Dist_4,Maharashtra_Const_6,Block-11,Village-68,Water & Sanitation,Public Toilets,Procurement,"Public Toilets at Village-68, Block-11, Maharashtra_Dist_4",3675656,3536844.95,3535101.76,3535101.76,3462307.97,3400387.77,2022-10-22,2022-07-30,2023-05-18,2023-07-13,100.0,96.19,1,2022-11-04,2023-08-07,AGENCY-016,CONT-0365,17.62119,82.310897,13,4
MPL-WORK-20242937,MP-774,CON-2728,Bihar,Bihar_Dist_1,Bihar_Const_4,Block-14,Village-3,Education,Smart Classrooms,Procurement,"Smart Classrooms at Village-3, Block-14, Bihar_Dist_1",9673127,10253603.79,10224211.94,10224211.94,10642235.86,10181826.87,2024-07-05,2024-05-20,2025-11-08,2025-12-25,100.0,99.59,4,2024-07-20,2026-01-27,AGENCY-071,CONT-0798,27.035071,74.38864,10,1
MPL-WORK-20242938,MP-717,CON-8514,Andhra Pradesh,Andhra Pradesh_Dist_4,Andhra Pradesh_Const_9,Block-15,Village-22,Education,Smart Classrooms,Procurement,"Smart Classrooms at Village-22, Block-15, Andhra Pradesh_Dist_4",3840120,4115190.18,4049177.33,4049177.33,4137459.05,3986034.91,2022-10-23,2022-08-14,2023-10-07,2023-09-18,100.0,98.44,7,2022-11-09,2023-09-20,AGENCY-016,CONT-0277,24.854975,73.313484,12,2
MPL-WORK-20242939,MP-438,CON-1984,Gujarat,Gujarat_Dist_1,Gujarat_Const_1,Block-20,Village-27,Infrastructure,Bus Shelter,Procurement,"Bus Shelter at Village-27, Block-20, Gujarat_Dist_1",15597891,16868464.23,16694654.41,16694654.41,16619186.34,16610969.85,2024-02-15,2023-12-21,2025-02-15,2025-01-17,100.0,99.5,2,2024-03-09,2025-02-20,AGENCY-231,CONT-0966,19.521978,70.212765,10,3
MPL-WORK-20242940,MP-291,CON-4087,Andhra Pradesh,Andhra Pradesh_Dist_5,Andhra Pradesh_Const_5,Block-5,Village-29,Health,Ambulance Purchase,Procurement,"Ambulance Purchase at Village-29, Block-5, Andhra Pradesh_Dist_5",12115556,12716218.94,12685631.16,12685631.16,8593162.21,7441448.42,2023-01-17,2022-12-23,2023-10-12,,65.24,58.66,5,2023-01-23,2023-09-12,AGENCY-004,CONT-0145,15.958879,81.836855,7,2
MPL-WORK-20242941,MP-808,CON-3043,Uttar Pradesh,Uttar Pradesh_Dist_2,Uttar Pradesh_Const_7,Block-3,Village-31,Health,Primary Health Centre,Procurement,"Primary Health Centre at Village-31, Block-3, Uttar Pradesh_Dist_2",16986154,18413905.89,18315946.12,18315946.12,18964833.37,18215975.02,2024-11-04,2024-09-17,2025-10-02,2025-11-04,100.0,99.45,4,2024-11-04,2025-12-12,AGENCY-263,CONT-0105,12.178249,70.551989,13,5
MPL-WORK-20242942,MP-113,CON-0692,Rajasthan,Rajasthan_Dist_4,Rajasthan_Const_7,Block-13,Village-62,Electricity,Solar Panels,Procurement,"Solar Panels at Village-62, Block-13, Rajasthan_Dist_4",11893197,11666190.76,11649239.67,11649239.67,7871900.87,6931710.15,2024-10-19,2024-07-31,2025-09-16,,64.66,59.5,4,2024-11-02,2024-10-09,AGENCY-036,CONT-0696,11.323858,83.677238,6,2
MPL-WORK-20242943,MP-302,CON-8248,Karnataka,Karnataka_Dist_1,Karnataka_Const_4,Block-13,Village-28,Water & Sanitation,Drainage System,Procurement,"Drainage System at Village-28, Block-13, Karnataka_Dist_1",11444633,10913681.55,10700201.1,10700201.1,10775398.29,10283263.75,2024-03-04,2024-02-06,2024-10-27,2024-11-16,100.0,96.1,4,2024-03-29,2024-12-28,AGENCY-246,CONT-0570,23.583372,85.109627,12,4
MPL-WORK-20242944,MP-740,CON-7364,West Bengal,West Bengal_Dist_4,West Bengal_Const_3,Block-12,Village-31,Education,Construction of School Building,Construction,"Construction of School Building at Village-31, Block-12, West Bengal_Dist_4",9472098,9939239.36,9765433.75,9765433.75,1836860.46,9096.88,2023-06-06,2023-04-29,2024-02-06,,11.77,0.09,7,2023-07-04,2023-12-02,AGENCY-067,CONT-0966,25.757317,72.429278,4,0
MPL-WORK-20242945,MP-233,CON-2338,Bihar,Bihar_Dist_5,Bihar_Const_5,Block-1,Village-3,Electricity,Transformer Installation,Procurement,"Transformer Installation at Village-3, Block-1, Bihar_Dist_5",16915838,16908127.65,16856332.98,16856332.98,16165914.18,16016625.37,2023-06-18,2023-05-01,2023-12-20,2024-02-01,100.0,95.02,10,2023-07-01,2024-02-23,AGENCY-215,CONT-0480,25.369156,80.03679,12,4
MPL-WORK-20242946,MP-381,CON-3732,Madhya Pradesh,Madhya Pradesh_Dist_5,Madhya Pradesh_Const_9,Block-3,Village-98,Water & Sanitation,Drinking Water RO,Procurement,"Drinking Water RO at Village-98, Block-3, Madhya Pradesh_Dist_5",7576225,8193261.12,8035574.88,8035574.88,8514787.75,8035574.88,2023-01-05,2022-12-08,2023-10-20,,82.49,100.0,9,2023-01-14,2023-08-13,AGENCY-105,CONT-0223,12.300304,83.870972,9,1
MPL-WORK-20242947,MP-162,CON-6961,Uttar Pradesh,Uttar Pradesh_Dist_3,Uttar Pradesh_Const_3,Block-20,Village-43,Water & Sanitation,Drinking Water RO,Procurement,"Drinking Water RO at Village-43, Block-20, Uttar Pradesh_Dist_3",6871544,6557742.22,6443511.12,6443511.12,5320233.89,4845060.84,2023-01-28,2023-01-10,2023-10-21,,67.78,75.19,1,2023-02-21,2023-07-04,AGENCY-183,CONT-0157,10.903888,85.092239,7,3
MPL-WORK-20242948,MP-465,CON-8248,Karnataka,Karnataka_Dist_5,Karnataka_Const_4,Block-3,Village-66,Water & Sanitation,Drinking Water RO,Procurement,"Drinking Water RO at Village-66, Block-3, Karnataka_Dist_5",15101182,15946067.88,15698205.57,15698205.57,15520127.35,15121826.61,2023-09-22,2023-07-31,2024-07-16,2024-08-18,100.0,96.33,4,2023-09-22,2024-09-09,AGENCY-117,CONT-0999,16.338812,77.555351,13,4
MPL-WORK-20242949,MP-341,CON-0063,Uttar Pradesh,Uttar Pradesh_Dist_1,Uttar Pradesh_Const_8,Block-13,Village-98,Health,Hospital Ward,Procurement,"Hospital Ward at Village-98, Block-13, Uttar Pradesh_Dist_1",6757080,6748944.28,6675772.29,6675772.29,4793747.6,4153729.18,2022-08-14,2022-07-01,2023-12-03,,62.51,62.22,2,2022-08-22,2022-10-06,AGENCY-005,CONT-0237,27.496848,76.523729,9,5
MPL-WORK-20242950,MP-417,CON-5664,Maharashtra,Maharashtra_Dist_3,Maharashtra_Const_4,Block-3,Village-39,Education,Construction of School Building,Construction,"Construction of School Building at Village-39, Block-3, Maharashtra_Dist_3",8371674,8693108.99,8616769.48,8616769.48,2604453.67,2252609.42,2024-09-01,2024-08-04,2025-11-18,,31.32,26.14,10,2024-09-09,2025-05-18,AGENCY-096,CONT-0549,25.951853,70.214089,5,3
MPL-WORK-20242951,MP-789,CON-4073,West Bengal,West Bengal_Dist_5,West Bengal_Const_1,Block-6,Village-85,Electricity,Solar Panels,Procurement,"Solar Panels at Village-85, Block-6, West Bengal_Dist_5",5485333,5267850.48,5242498.32,5242498.32,5363219.54,5196502.25,2024-05-26,2024-04-07,2025-09-01,2025-11-23,100.0,99.12,6,2024-06-17,2025-11-28,AGENCY-189,CONT-0361,20.213718,77.295339,13,1
MPL-WORK-20242952,MP-292,CON-6273,Bihar,Bihar_Dist_1,Bihar_Const_9,Block-15,Village-2,Health,Hospital Ward,Procurement,"Hospital Ward at Village-2, Block-15, Bihar_Dist_1",12818170,13576289.69,13501965.03,13501965.03,5849484.66,5206308.32,2022-02-19,2022-01-18,2022-09-22,,31.53,38.56,7,2022-03-09,2022-08-04,AGENCY-024,CONT-0928,17.66026,71.249711,5,3
MPL-WORK-20242953,MP-308,CON-9732,Karnataka,Karnataka_Dist_2,Karnataka_Const_3,Block-9,Village-88,Infrastructure,Community Hall,Construction,"Community Hall at Village-88, Block-9, Karnataka_Dist_2",6661713,7284265.75,7187175.13,7187175.13,1662828.71,1195787.21,2022-11-03,2022-09-20,2023-10-22,,1.82,16.64,6,2022-11-30,2022-12-10,AGENCY-246,CONT-0136,18.304849,87.119873,2,3
MPL-WORK-20242954,MP-709,CON-1159,Bihar,Bihar_Dist_4,Bihar_Const_1,Block-12,Village-75,Electricity,Solar Panels,Procurement,"Solar Panels at Village-75, Block-12, Bihar_Dist_4",9835399,9901109.71,9792153.98,9792153.98,7977764.63,7544749.27,2023-11-05,2023-08-19,2024-05-04,,35.86,77.05,7,2023-11-28,2024-04-13,AGENCY-251,CONT-0315,10.085408,83.327355,4,3
MPL-WORK-20242955,MP-130,CON-5011,Bihar,Bihar_Dist_5,Bihar_Const_8,Block-2,Village-3,Water & Sanitation,Drinking Water RO,Procurement,"Drinking Water RO at Village-3, Block-2, Bihar_Dist_5",4111087,3921483.77,3916974.16,3916974.16,3923802.95,3895596.71,2023-03-08,2023-02-03,2024-03-04,2024-04-29,100.0,99.45,9,2023-03-20,2024-06-04,AGENCY-262,CONT-0960,10.288637,83.923376,10,3
MPL-WORK-20242956,MP-637,CON-8223,Tamil Nadu,Tamil Nadu_Dist_5,Tamil Nadu_Const_5,Block-13,Village-88,Infrastructure,Community Hall,Construction,"Community Hall at Village-88, Block-13, Tamil Nadu_Dist_5",2973057,3136414.1,3084995.25,3084995.25,3037175.49,3001680.45,2022-08-03,2022-06-18,2023-11-10,,87.47,97.3,3,2022-08-28,2023-02-20,AGENCY-062,CONT-0486,22.814288,83.3531,10,2
MPL-WORK-20242957,MP-804,CON-5074,Maharashtra,Maharashtra_Dist_5,Maharashtra_Const_7,Block-14,Village-57,Electricity,Street Lights,Procurement,"Street Lights at Village-57, Block-14, Maharashtra_Dist_5",7609710,8140622.55,8085208.8,8085208.8,1542853.27,869125.11,2024-04-28,2024-01-30,2025-03-22,,7.24,10.75,9,2024-05-10,2024-05-26,AGENCY-231,CONT-0571,18.501994,81.548137,2,2
MPL-WORK-20242958,MP-703,CON-9862,Gujarat,Gujarat_Dist_1,Gujarat_Const_2,Block-17,Village-80,Water & Sanitation,Drainage System,Procurement,"Drainage System at Village-80, Block-17, Gujarat_Dist_1",4893547,4856042.51,4809298.0,4809298.0,4800494.62,4696318.29,2024-07-16,2024-06-06,2025-05-03,2025-06-03,100.0,97.65,9,2024-08-11,2025-07-02,AGENCY-134,CONT-0974,18.006544,82.753798,13,2
